,0,3,1,2,5,4,6,7,8,9
153,Zbp1,Zfp36l1,Nsd2,Cox6b1,Ppp1r12a,Rgs10,Pml,Aldh1a1,Pik3ip1,Il18bp
154,Tnfrsf18,Zfp36l2,Atpif1,Tbc1d10c,Osbpl8,Uqcrh,Grb2,Epb42,Scp2,Lamp2
155,Ndfip1,S1pr1,Ska1,Mea1,Ipcef1,Thy1,Foxp1,Cldn13,Ddx5,Card19
156,Susd3,Cmss1,Fabp5,Ly6e,Cd28,AY036118,Baz2b,Tspan33,Hspe1,Clec4a1
157,Zap70,Pdcd4,Tuba1c,Nfatc1,Fryl,Il7r,Iglv1,Tmcc2,Eif3f,Saa3
158,Calm1,Atp1b1,Exosc8,Id2,St8sia1,Eif3e,Gm15987,Fpgt,Pdlim1,Hmox1
159,Rnh1,Arhgef1,Cox7a2,Sesn3,Fam49b,Epsti1,Slc9a7,Ank1,Cirbp,March1
160,Edf1,A930005H10Rik,Nkg7,Rilpl2,Nlk,Fgf13,Sypl,Sox6,Pabpc1,Ninj1
161,Ptprcap,Ftl1,Jpt1,Rpl39,Sp100,Snrpd3,Zfp318,Rhd,Eif4a2,Cd274
162,Ppib,Snhg1,Tipin,Cox14,Ext1,Eef1g,Plekhm3,Hebp1,Uqcrh,Tgm2
163,Glmp,Satb1,Kif4,Vamp8,Picalm,Bola2,Ero1lb,Gm46515,Selenow,Oasl2
164,Sec61g,Anp32a,Bub3,Dennd1c,mt-Nd4l,Pdlim1,Cnn3,Gabarap,Pdcd4,Clec4e
165,Sirt2,Mrpl30,Tpm4,Zfp36l1,Cmah,Gm45552,Hhex,Sptb,Chd3,Gpr141
166,Ap2s1,Selenop,Knstrn,Slc9a9,Ash1l,A930005H10Rik,Kynu,March8,Mgst2,Samhd1
167,Zyx,Scml4,Rad21,Nfkbia,Diaph2,Atp5g2,Ctsc,Gphn,Park7,Syk
168,Actr3,Eif3f,Ckap5,Cd44,Cul3,Cd72,Rps12,Tnfaip8l1,Evl,Pik3ap1
169,Atox1,Rpl7a,Cdc25b,Psmb1,Smg6,AB124611,Lgmn,1700037H04Rik,mt-Nd2,Bcl2a1b
170,Cnn2,Pdlim1,Lsm2,Rgs1,Snd1,Actn2,A630001G21Rik,Arrb1,Ndufa6,Anxa5
171,Tagln2,Cirbp,Acot7,Gstp3,Znrf3,Cd69,Cyp4f18,Atpif1,Scml4,Atf3
172,Sla,Rbm39,Plp2,Atp5l,Myh9,Dusp2,Foxn3,Becn1,Dusp2,Plcg2
173,Gbp3,Gm42418,Hspa8,Psme1,Itsn2,Rcn3,Ncf1,Slc7a5,Zbtb20,Gsap
174,Dok2,Evl,Ncaph2,Tbc1d4,Fnbp1,Ier2,BE692007,Fgfr2,Eef2,Psme2
175,Cox6b1,Gpx1,Gng2,Lrmp,Mrtfa,Dtx1,Tec,2500002B13Rik,Zfas1,Magohb
176,H2afy,Mrpl23,Cycs,Ptpn7,Rfx3,Eif3h,Rnf130,Grina,Anp32a,Tgfbi
177,Smpdl3a,Chd3,S100a11,Art2b,Cnot6l,Actn1,Chchd10,Cript,Rps17,Oas1a
178,Bsg,Rasgrp2,Pcna,Atp5c1,Gls,Mrpl30,Tyrobp,Tmem86b,Id3,Myof
179,Tpm4,Bzw2,Cenpm,Eif3h,Cdk13,Pabpc1,Snx9,Hscb,Myl12b,Cd38
180,Slamf7,Dusp1,Ranbp1,Cnn2,Susd6,Foxp1,Stx7,Nkain2,Treml2,Slc31a2
181,Arf5,Gm45552,Tfdp1,Gm20275,Tra2b,Myc,Snx29,Hist1h2ai,Cox14,Eif4ebp1
182,Cd38,mt-Nd2,Kif20b,Coro1a,Tle4,Txnip,Prkce,Ppp1r3e,Irf7,Pgk1
183,Rilpl2,Slfn1,Nucks1,Dtx3,mt-Nd1,mt-Atp6,Myo1c,Rarg,C1qbp,Eno1
184,Fam129a,Cd27,Ccnf,Eva1b,mt-Nd2,Cdk8,mt-Nd2,Ccdc91,Phb2,Pilra
185,Aprt,Pabpc1,Aurka,Clic1,Ralgapa2,Gm2000,Ptprj,Fzr1,Rnf167,Csf2rb
186,Ass1,Npc2,Hmgb3,Ptprc,Kmt2a,mt-Nd1,Scpep1,Mxi1,Bola2,Ifi211
187,Ndufv3,AY036118,Ifng,Tespa1,Nr3c1,Zfp36,Rubcnl,Pip5k1b,Ftl1,Sdcbp
188,Serpina3g,Snrpg,Esco2,Pabpc1,Smchd1,Nsg2,Pmf1,Zfp90,Pnrc1,Trps1
189,Tbx21,Il31ra,Cit,Bax,Strn3,Ptpn18,Haao,Cnn3,Eif3m,Ccr2
190,Cyth4,Rps17,Bub1b,Foxp3,Mbd5,Fbl,2010309G21Rik,Vwa8,Ltb,Fes
191,Gbp7,Nme2,Hist1h2bj,Ehd3,Iqgap2,Fam241a,Gngt2,Arhgef10,Vps37b,Cycs
192,H2-K1,Pik3ip1,Gimap7,Cxcr5,Ascc3,Scml4,Gns,Bsdc1,Ifi208,Ccr5
193,Gnai2,Dusp10,Krtcap2,Cox5b,Phf20l1,mt-Nd4l,Fgd2,Fundc2,Fbl,Ly6c2
194,Lag3,Eef1g,Ncapg2,Itgal,Usp3,C1qbp,Pxdc1,Tuba4a,Npc2,Ifi207
195,Cox6c,Scp2,Myo1f,Anp32a,Cnot4,Cd226,Hck,Fam126a,Gpx1,Lamp1
196,Trerf1,Als2cl,Lcp1,Spcs1,Pum2,Slc6a19,Erp29,Pias2,Acyp1,Pla2g4a
197,Elob,Uqcrh,Sumo2,Tox,Tnrc6c,Cd27,Map4k1,Ftl1-ps1,Fth1,Ifitm6
198,Cd47,mt-Atp6,Hpf1,Cdk2ap2,Atf7ip,Snhg12,Tmem131l,AI662270,Arhgap45,Calm1
199,Hip1,Ltb,Ccr5,Serpina3g,Rap1gds1,Arl5c,Cacna1e,Uimc1,Bzw2,Batf2
200,Sem1,Hnrnpf,Banf1,Atp5h,Zfp407,Scp2,BC028528,B430306N03Rik,Arl4c,Cox8a
201,Gabarap,Tbca,Rangap1,Abcb1a,Tbc1d5,Rflnb,Rpl26,Casp9,Trbc1,Capza2
202,Slamf1,Vps37b,Kif23,1110008P14Rik,Phip,Id3,Kmo,Saa3,Gm2000,Myo1f
203,Cox17,Gm2682,Hnrnpa3,Tspan3,Akt3,Klf3,Chst3,Anks1b,Eif4b,Fcgr2b
204,Sh2d2a,Cd69,Sub1,Ier5,Trip12,Bin2,Pfdn5,Gm867,Mettl23,Anxa4
205,Twf2,Lars2,Il2rb,Tmem258,Cdkal1,Npc2,Plek,Clcn6,Epb41l4aos,Msr1
206,Higd1a,Id3,Hist1h2ap,Ccs,Bcas3,Crtam,Kcnq5,Map4k5,Btg2,Smpdl3b
207,Dynlrb1,Pdk1,Prelid3b,Bin2,Lrch3,Impdh2,Dnase2a,Ifrd2,Dtx1,Cdkn1a
208,Arl6ip1,Epb41l4aos,Dnajc15,Ndufa2,Ccdc88c,Akr1b3,Tpd52,Ly6k,H3f3a,S100a4
209,Map1lc3b,Ubc,Pmf1,Trbc2,Tbc1d1,Zfas1,Bmyc,Azin1,AB124611,Gab2
210,Vasp,Gimap3,Rad51ap1,Rbm3,Fndc3a,Atp1b3,Rpl37,Dhcr24,Hnrnpdl,Gbp3
211,Gadd45g,Ypel3,Haus4,Tbx21,Cbl,Ppic,Ccr6,H6pd,Arhgef1,Calhm6
212,Rora,Uba52,Acadl,Tox2,Rbm39,Micos13,mt-Co2,Tax1bp1,Tbca,Xdh
213,Tmem154,Ablim1,Ect2,Eif3e,Dlg1,mt-Co3,Ublcp1,Glo1,Mrpl30,Cd40
214,Capn2,Slfn5,Eno1,Arpc3,Ssbp2,Tcp11l2,Csk,Surf6,Bach2,Clec4a3
215,Sri,Snhg12,Cbx5,Mrps21,Sgms1,Trbv16,Dennd5b,Akip1,Tcp11l2,Tmbim4
216,Wdr1,Gm15708,Phgdh,Rpl13a,Tlk1,H3f3a,A330040F15Rik,Trav7-4,Gm2682,Napsa
217,Ctla2b,Arhgap15,Id2,Rtraf,Erbin,H2afj,Fcrl5,Tex9,Saraf,Slc8a1
218,Ddt,Skp1a,Tcf19,Grap,Rngtt,Tbxa2r,Irf4,Gm48099,Ypel3,Apobec1
219,Sec61b,Ndrg3,Cdc45,Sec11c,Herc4,Rapgef4,Ccdc50,Chac2,Snrpg,Gng12
220,Ehd1,Churc1,Ybx1,Gpsm3,Ambra1,mt-Nd5,Mgrn1,Cd3eap,Akr1b3,Cd300lf
221,Morrbid,Kcnn4,Cdc42,Tln1,Fbxo11,Eif4a2,Ptma,Yipf4,Dusp10,Mvp
222,Cox5b,Emg1,Hopx,Eif3i,Rabgap1l,Epb41l4aos,AB124611,Slfn14,Cd8b1,Cndp2
223,Pdia3,Itk,Bhlhe40,Gabarapl2,Cog5,Pik3ip1,Zfp706,Ackr1,Fkbp3,Lap3
224,Phf11b,St6gal1,Capzb,Cyba,St6gal1,Skp1a,Vars,Tinagl1,Ephx1,Irf8
